step  t                                d        G                                side     d/((ln t)^4 lnln t)
   1  5                                6        17                               both       0.8942
   2  17                               24       59                               d-1        0.3577
   3  59                               78       197                              d+1        0.2008
   4  197                              222      617                              d+1        0.1712
   5  617                              42       1277                             both       0.0133
   6  1277                             174      2729                             d-1        0.0338
   7  2729                             60       5519                             both       0.0074
   8  5519                             132      11171                            d-1        0.0111
   9  11171                            3456     25799                            d+1        0.2051
  10  25799                            1260     52859                            d-1        0.0510
  11  52859                            312      106031                           both       0.0093
  12  106031                           1068     213131                           d+1        0.0243
  13  213131                           21186    447449                           d+1        0.3729
  14  447449                           1548     896447                           d+1        0.0211
  15  896447                           822      1793717                          both       0.0089
  16  1793717                          11934    3599369                          d-1        0.1041
  17  3599369                          270      7199009                          both       0.0019
  18  7199009                          1218     14399237                         d-1        0.0071
  19  14399237                         9972     28808447                         d+1        0.0482
  20  28808447                         1032     57617927                         both       0.0042
  21  57617927                         66732    115302587                        d+1        0.2270
  22  115302587                        16572    230621747                        d+1        0.0478
  23  230621747                        4392     461247887                        d-1        0.0108
  24  461247887                        36432    922532207                        d+1        0.0768
  25  922532207                        242262   1845306677                       d-1        0.4407

25 steps; final term has 10 digits; every G is a lower twin prime.
