step,t,d,C,side,digits,norm4
1,5,6,17,both,1,0.89424
2,17,24,59,d-1,2,0.35766
3,59,78,197,d+1,2,0.20076
4,197,222,617,d+1,3,0.17119
5,617,42,1277,both,3,0.01325
6,1277,174,2729,d-1,4,0.03380
7,2729,60,5519,both,4,0.00740
8,5519,132,11171,d-1,4,0.01112
9,11171,3456,25799,d+1,5,0.20510
10,25799,1260,52859,d-1,5,0.05105
11,52859,312,106031,both,5,0.00935
12,106031,1068,213131,d+1,6,0.02433
13,213131,21186,447449,d+1,6,0.37286
14,447449,1548,896447,d+1,6,0.02105
15,896447,822,1793717,both,6,0.00890
16,1793717,11934,3599369,d-1,7,0.10406
17,3599369,270,7199009,both,7,0.00192
18,7199009,1218,14399237,d-1,7,0.00710
19,14399237,9972,28808447,d+1,8,0.04821
20,28808447,1032,57617927,both,8,0.00417
21,57617927,66732,115302587,d+1,8,0.22701
22,115302587,16572,230621747,d+1,9,0.04778
23,230621747,4392,461247887,d-1,9,0.01080
24,461247887,36432,922532207,d+1,9,0.07685
25,922532207,242262,1845306677,d-1,9,0.44072
26,1845306677,100734,3690714089,d-1,10,0.15884
27,3690714089,24132,7381452311,d+1,10,0.03314
28,7381452311,54576,14762959199,d+1,10,0.06555
29,14762959199,1950,29525920349,both,11,0.00206
30,29525920349,67782,59051908481,d+1,11,0.06305
31,59051908481,100926,118103917889,d+1,11,0.08307
32,118103917889,54450,236207890229,d-1,12,0.03980
33,236207890229,67290,472415847749,d-1,12,0.04381
34,472415847749,11832,944831707331,both,12,0.00688
35,944831707331,52956,1889663467619,d+1,12,0.02762
36,1889663467619,146292,3779327081531,d-1,13,0.06857
37,3779327081531,34368,7558654197431,both,13,0.01452
38,7558654197431,176538,15117308571401,d-1,13,0.06736
39,15117308571401,411288,30234617554091,d-1,14,0.14210
40,30234617554091,205608,60469235313791,d-1,14,0.06447
41,60469235313791,105468,120938470733051,d-1,14,0.03008
42,120938470733051,7668,241876941473771,d+1,15,0.00199
43,241876941473771,224298,483753883171841,d+1,15,0.05326
44,483753883171841,55206,967507766398889,d+1,15,0.01200
45,967507766398889,42300,1935015532840079,d-1,15,0.00843
46,1935015532840079,231492,3870031065911651,d+1,16,0.04235
47,3870031065911651,174918,7740062131998221,d-1,16,0.02944
48,7740062131998221,64668,15480124264061111,d-1,16,0.01003
49,15480124264061111,747828,30960248528870051,both,17,0.10702
50,30960248528870051,70098,61920497057810201,d+1,17,0.00927
51,61920497057810201,39408,123840994115659811,d+1,17,0.00482
52,123840994115659811,409026,247681988231728649,d+1,18,0.04641
53,247681988231728649,282972,495363976463740271,d+1,18,0.02980
54,495363976463740271,206448,990727952927686991,d-1,18,0.02021
55,990727952927686991,803088,1981455905856177071,d-1,18,0.07314
56,1981455905856177071,298776,3962911811712652919,d+1,19,0.02535
57,3962911811712652919,44712,7925823623425350551,d-1,19,0.00354
58,7925823623425350551,624726,15851647246851325829,d+1,19,0.04617
59,15851647246851325829,468870,31703294493703120529,d-1,20,0.03239
60,31703294493703120529,228738,63406588987406469797,d-1,20,0.01479
61,63406588987406469797,176082,126813177974813115677,d-1,20,0.01067
62,126813177974813115677,2417904,253626355949628649259,d-1,21,0.13733
63,253626355949628649259,194688,507252711899257493207,d-1,21,0.01038
64,507252711899257493207,305742,1014505423798515292157,both,21,0.01531
65,1014505423798515292157,1534632,2029010847597032118947,d+1,22,0.07228
66,2029010847597032118947,42462,4058021695194064280357,both,22,0.00188
67,4058021695194064280357,627252,8116043390388129187967,d-1,22,0.02620
68,8116043390388129187967,417864,16232086780776258793799,d-1,22,0.01645
69,16232086780776258793799,2286672,32464173561552519874271,d-1,23,0.08496
70,32464173561552519874271,1552998,64928347123105041301541,d-1,23,0.05449
71,64928347123105041301541,1264596,129856694246210083867679,d+1,23,0.04193
72,129856694246210083867679,2173182,259713388492420169908541,d+1,24,0.06815
73,259713388492420169908541,998196,519426776984840340815279,d+1,24,0.02963
74,519426776984840340815279,4292940,1038853553969680685923499,d+1,24,0.12069
75,1038853553969680685923499,145878,2077707107939361371992877,d+1,25,0.00389
76,2077707107939361371992877,230352,4155414215878722744216107,d+1,25,0.00582
77,4155414215878722744216107,333252,8310828431757445488765467,d+1,25,0.00799
78,8310828431757445488765467,2325264,16621656863514890979856199,d-1,25,0.05297
79,16621656863514890979856199,2821452,33243313727029781962533851,d-1,26,0.06108
