Constellation (n, n+2, 2n+1, 2n+3) - bi-twin chain of one link (OEIS A066388 shifted by 1): twin centre doubled is a twin centre
  n <= 1,000,000,000, k = 4 forms, singular series S = 4.151181
  count                        : 26,370
  Bateman-Horn prediction      : 26,455.7   (actual/predicted = 0.9968)
  Selberg upper bound, leading : 8,643,111   (= 2^k k! S X/(log X)^k; unconditional)
  first n                      : [5, 29, 659, 809, 2129, 2549, 3329, 3389, 5849, 6269]

  block [lo,hi)        count     predicted    ratio
  [2^ 1,2^ 2)           0           1.3    0.000
  [2^ 2,2^ 3)           1           0.7    1.423
  [2^ 3,2^ 4)           0           0.5    0.000
  [2^ 4,2^ 5)           1           0.4    2.269
  [2^ 7,2^ 8)           0           0.6    0.000
  [2^ 8,2^ 9)           0           0.7    0.000
  [2^ 9,2^10)           2           0.9    2.195
  [2^10,2^11)           0           1.2    0.000
  [2^11,2^12)           4           1.8    2.275
  [2^12,2^13)           2           2.6    0.783
  [2^13,2^14)           1           3.8    0.263
  [2^14,2^15)           0           5.8    0.000
  [2^15,2^16)           8           8.9    0.898
  [2^16,2^17)          13          14.0    0.930
  [2^17,2^18)          22          22.3    0.988
  [2^18,2^19)          42          35.9    1.171
  [2^19,2^20)          55          58.4    0.941
  [2^20,2^21)          82          96.2    0.852
  [2^21,2^22)         149         159.8    0.933
  [2^22,2^23)         263         267.5    0.983
  [2^23,2^24)         456         451.4    1.010
  [2^24,2^25)         782         766.9    1.020
  [2^25,2^26)       1,314        1311.4    1.002
  [2^26,2^27)       2,298        2255.8    1.019
  [2^27,2^28)       3,924        3901.4    1.006
  [2^28,2^29)       6,736        6782.1    0.993
  [2^29,2^30)      10,215       10302.5    0.992

  elapsed 33.0s
