Constellation (n, 2n+1, 4n+3) - Cunningham chains of length 3
  n <= 1,000,000,000, k = 3 forms, singular series S = 2.858249
  count                        : 342,414
  Bateman-Horn prediction      : 342,312.5   (actual/predicted = 1.0003)
  Selberg upper bound, leading : 15,415,820   (= 2^k k! S X/(log X)^k; unconditional)
  first n                      : [2, 5, 11, 41, 89, 179, 359, 509, 719, 1019]

  block [lo,hi)        count     predicted    ratio
  [2^ 1,2^ 2)           1           1.1    0.905
  [2^ 2,2^ 3)           1           0.8    1.246
  [2^ 3,2^ 4)           1           0.8    1.319
  [2^ 4,2^ 5)           0           0.8    0.000
  [2^ 5,2^ 6)           1           1.0    0.996
  [2^ 6,2^ 7)           1           1.3    0.767
  [2^ 7,2^ 8)           1           1.8    0.559
  [2^ 8,2^ 9)           2           2.6    0.782
  [2^ 9,2^10)           2           3.8    0.528
  [2^10,2^11)          10           5.8    1.737
  [2^11,2^12)           8           9.0    0.893
  [2^12,2^13)          11          14.2    0.773
  [2^13,2^14)          23          23.0    1.002
  [2^14,2^15)          30          37.6    0.798
  [2^15,2^16)          64          62.3    1.027
  [2^16,2^17)         105         104.4    1.005
  [2^17,2^18)         192         176.8    1.086
  [2^18,2^19)         271         301.9    0.898
  [2^19,2^20)         522         519.8    1.004
  [2^20,2^21)         874         901.2    0.970
  [2^21,2^22)       1,598        1572.8    1.016
  [2^22,2^23)       2,757        2761.1    0.999
  [2^23,2^24)       4,957        4873.6    1.017
  [2^24,2^25)       8,777        8645.5    1.015
  [2^25,2^26)      15,416       15407.8    1.001
  [2^26,2^27)      27,536       27577.0    0.999
  [2^27,2^28)      49,628       49553.7    1.001
  [2^28,2^29)      89,426       89373.9    1.001
  [2^29,2^30)     140,199      140377.3    0.999

  elapsed 40.7s
