Constellation (n, n+2, n+6, n+8) - prime quadruplets = consecutive lower twins at gap 6
  n <= 1,000,000,000, k = 4 forms, singular series S = 4.151181
  count                        : 28,388
  Bateman-Horn prediction      : 28,387.0   (actual/predicted = 1.0000)
  Selberg upper bound, leading : 8,643,111   (= 2^k k! S X/(log X)^k; unconditional)
  first n                      : [5, 11, 101, 191, 821, 1481, 1871, 2081, 3251, 3461]

  block [lo,hi)        count     predicted    ratio
  [2^ 1,2^ 2)           0           1.0    0.000
  [2^ 2,2^ 3)           1           0.7    1.382
  [2^ 3,2^ 4)           1           0.6    1.623
  [2^ 4,2^ 5)           0           0.6    0.000
  [2^ 5,2^ 6)           0           0.6    0.000
  [2^ 6,2^ 7)           1           0.6    1.637
  [2^ 7,2^ 8)           1           0.7    1.420
  [2^ 8,2^ 9)           0           0.9    0.000
  [2^ 9,2^10)           1           1.1    0.901
  [2^10,2^11)           2           1.5    1.341
  [2^11,2^12)           3           2.1    1.445
  [2^12,2^13)           1           3.0    0.336
  [2^13,2^14)           5           4.4    1.142
  [2^14,2^15)           7           6.6    1.063
  [2^15,2^16)           5          10.1    0.495
  [2^16,2^17)          15          15.7    0.954
  [2^17,2^18)          19          24.9    0.764
  [2^18,2^19)          44          39.8    1.104
  [2^19,2^20)          71          64.6    1.099
  [2^20,2^21)         132         105.8    1.248
  [2^21,2^22)         174         174.9    0.995
  [2^22,2^23)         312         291.8    1.069
  [2^23,2^24)         510         490.6    1.040
  [2^24,2^25)         800         830.7    0.963
  [2^25,2^26)       1,420        1416.1    1.003
  [2^26,2^27)       2,398        2428.9    0.987
  [2^27,2^28)       4,173        4189.9    0.996
  [2^28,2^29)       7,163        7265.7    0.986
  [2^29,2^30)      11,129       11013.2    1.011

  elapsed 28.2s
