Constellation (n, 2n+1) - Sophie Germain primes
  n <= 1,000,000,000, k = 2 forms, singular series S = 1.320324
  count                        : 3,308,859
  Bateman-Horn prediction      : 3,307,887.9   (actual/predicted = 1.0003)
  Selberg upper bound, leading : 24,595,405   (= 2^k k! S X/(log X)^k; unconditional)
  first n                      : [2, 3, 5, 11, 23, 29, 41, 53, 83, 89]

  block [lo,hi)        count     predicted    ratio
  [2^ 1,2^ 2)           2           1.3    1.484
  [2^ 2,2^ 3)           1           1.2    0.833
  [2^ 3,2^ 4)           1           1.4    0.736
  [2^ 4,2^ 5)           2           1.7    1.147
  [2^ 5,2^ 6)           2           2.4    0.825
  [2^ 6,2^ 7)           3           3.6    0.842
  [2^ 7,2^ 8)           7           5.5    1.283
  [2^ 8,2^ 9)           8           8.6    0.927
  [2^ 9,2^10)          13          14.0    0.930
  [2^10,2^11)          23          23.1    0.995
  [2^11,2^12)          41          38.8    1.055
  [2^12,2^13)          67          66.2    1.012
  [2^13,2^14)         111         114.2    0.972
  [2^14,2^15)         193         199.0    0.970
  [2^15,2^16)         360         349.9    1.029
  [2^16,2^17)         630         620.1    1.016
  [2^17,2^18)       1,091        1106.4    0.986
  [2^18,2^19)       1,938        1986.3    0.976
  [2^19,2^20)       3,558        3585.8    0.992
  [2^20,2^21)       6,448        6505.9    0.991
  [2^21,2^22)      11,876       11857.6    1.002
  [2^22,2^23)      21,649       21700.9    0.998
  [2^23,2^24)      40,151       39865.5    1.007
  [2^24,2^25)      73,658       73489.2    1.002
  [2^25,2^26)     135,711      135905.5    0.999
  [2^26,2^27)     251,786      252077.5    0.999
  [2^27,2^28)     468,678      468835.7    1.000
  [2^28,2^29)     875,247      874205.2    1.001
  [2^29,2^30)   1,415,604     1415315.5    1.000

  elapsed 22.7s
