digits,t,d,side,norm4,model_mean,survival
20,33852494372803222199,8460,d+1,0.00054,366790.3,0.968478
20,93599967583390172657,514824,d-1,0.03007,838337.3,0.518704
20,80759371927223942129,5003310,d-1,0.29629,825909.6,0.004021
20,68626279146291393071,747318,d+1,0.04493,574254.0,0.268026
20,25062733837108710311,505338,d+1,0.03341,1295396.7,0.649298
20,41568259586025583469,842748,d-1,0.05311,877599.4,0.370289
20,40097094569561368037,523434,d-1,0.03310,554316.7,0.376081
20,44960791511619771899,6552,both,0.00041,281006.5,0.968701
20,33785724243861407927,183474,d-1,0.01179,625306.2,0.717042
20,50156135745969854171,2174718,d-1,0.13464,529002.6,0.021346
20,42999640650500036687,34122,d+1,0.00214,1248990.9,0.962415
20,39022278490040844587,388134,d-1,0.02461,851429.8,0.607892
20,76831054259910368849,406980,d+1,0.02421,581740.3,0.477297
20,59031078701627831969,1174620,d-1,0.07162,714606.4,0.194856
20,85385236704584945699,120708,d+1,0.00711,250590.8,0.593700
20,70105084617860207789,101700,d+1,0.00610,374930.7,0.735392
20,14549024580237166739,645570,d+1,0.04497,358446.7,0.168352
20,21768437780810157581,207498,d-1,0.01391,727352.4,0.723753
20,27674779178190662597,1620924,d-1,0.10616,1520062.5,0.334849
20,11225572705837853057,312864,d-1,0.02235,1801392.7,0.814692
20,37807244925898136321,598536,d+1,0.03806,1608675.7,0.661537
20,19289634323477765339,12972,d+1,0.00088,366290.3,0.953543
20,37307051820747074711,1317786,d+1,0.08390,1853698.7,0.471889
20,27966790469628140699,664950,d-1,0.04351,535357.6,0.283248
20,24920945236468548887,3254442,both,0.21529,1045987.5,0.051659
20,91156569337855252391,268518,both,0.01572,816370.4,0.691716
20,97994521195126792991,642456,d+1,0.03737,685838.5,0.378937
20,38845264041828121679,147420,d-1,0.00935,361479.8,0.638720
20,21730196097948789719,581442,d+1,0.03897,732735.5,0.434689
20,54667470579427426067,2081862,d-1,0.12786,1062685.1,0.145787
20,14540333744765339807,5088264,d-1,0.35448,982094.4,0.008551
20,90104197417836727919,1249272,d+1,0.07323,817739.3,0.216968
20,79418808351686774261,574128,d-1,0.03405,1281120.1,0.612956
20,12126348376155629459,58548,d+1,0.00415,245067.1,0.761180
20,50716441226029749341,1351416,d+1,0.08358,1517061.1,0.396095
20,25326449464385143937,1146774,d-1,0.07575,1567362.8,0.462211
20,21265741758908422691,4968,both,0.00033,700787.8,0.988694
20,18837991368138189851,154158,both,0.01048,1098870.2,0.844294
20,43139803476507782411,288198,d+1,0.01810,1491682.4,0.797468
20,98132026986357746507,35292,d-1,0.00205,697010.8,0.935674
20,70228852880260721657,219684,d-1,0.01318,921332.9,0.759273
20,50327228597333181287,1727274,d-1,0.10691,1593407.5,0.329298
20,91106027260053577397,1547454,d-1,0.09062,1218938.3,0.276230
20,84201547809087926069,26730,both,0.00158,341556.3,0.907027
20,20899176243335175551,133596,d+1,0.00899,1358702.1,0.885015
20,92041301331485030729,421632,d+1,0.02467,456501.6,0.384008
20,29985579750558699479,1935690,d+1,0.12582,738405.0,0.080173
20,11646698853253708169,1497798,d+1,0.10661,747846.5,0.140208
20,87942674536340737439,1734072,d-1,0.10188,500549.2,0.037569
20,59569842148335840947,718812,d+1,0.04379,1260370.9,0.541543
20,21949211863958161007,2224152,d+1,0.14893,1136281.1,0.145956
20,12197853415860902759,253740,d+1,0.01798,464627.6,0.555199
20,47887657130132650847,1820202,d-1,0.11319,1946388.4,0.379753
20,63586777675012668941,132108,d+1,0.00800,1273066.9,0.880431
20,37673380451887864127,1642812,both,0.10449,1842162.4,0.395881
20,56423018458768919561,436146,d+1,0.02671,1270984.9,0.681168
20,62445543674897493827,643464,d-1,0.03903,2035315.0,0.701176
20,82136710808424665609,23790,d-1,0.00141,316757.2,0.910444
20,73810502101022843489,25998,both,0.00155,586752.5,0.943208
20,83516229186534617381,997068,d+1,0.05886,597239.0,0.190206
20,90755180708679043187,918564,d-1,0.05381,1219279.7,0.452940
20,20788727457766327331,244248,d-1,0.01644,348059.4,0.475844
20,92510759750149034321,1282416,d+1,0.07499,633868.3,0.137454
20,68911258403972300999,458502,d-1,0.02756,483132.5,0.374826
20,72429524101630166747,747564,d-1,0.04472,1290244.4,0.536805
20,16577827820083532141,55638,d+1,0.00383,547611.3,0.881884
20,32908725290111965031,69378,d+1,0.00447,1174760.3,0.925956
20,18494205369104781581,673446,d+1,0.04584,515787.7,0.266911
20,13816106666361739667,8232,both,0.00058,811684.4,0.984388
20,89859729330134894969,810282,d-1,0.04751,408742.0,0.142447
20,21227322544695061931,1692246,d+1,0.11368,1512228.8,0.318477
20,91099936630173093461,2069706,d+1,0.12120,849014.0,0.094321
20,87007974905714597279,189882,d-1,0.01117,236013.1,0.431491
20,57366506958846699149,761928,d-1,0.04658,427333.0,0.171162
20,36748234727930171261,334056,d+1,0.02130,578200.9,0.537948
20,66174724709644274201,5874828,d+1,0.35441,1491572.7,0.024909
20,30071749083575480159,529722,d+1,0.03442,332073.5,0.203621
20,89184831354730195811,93096,d+1,0.00546,479956.4,0.797027
