Verification of /tmp/up/twin_gap_chain.csv: 150 steps
  primality beyond 3.19e+23 is probabilistic (gmpy2 BPSW / 12-base Miller-Rabin)

  step  digits(t)          d   side   d/((ln t)^4 lnln t)  d/((ln t)^5 lnln t)  checks     least d     model E[d(t)]  P(d(t)>d)
     1          1            6   d-1 d+1          0.8942             0.55562   OK        =                    270     0.5440
     2          2           24   d-1              0.3577             0.12624   OK        =                     38     0.2562
     3          2           78   d+1              0.2008             0.04924   OK        =                     39     0.1125
     4          3          222   d+1              0.1712             0.03240   OK        =                    101     0.1106
     5          3           42   d-1 d+1          0.0133             0.00206   OK        =                    233     0.7690
     6          4          174   d-1              0.0338             0.00473   OK        =                    572     0.6364
     7          4           60   d-1 d+1          0.0074             0.00094   OK        =                    182     0.7773
     8          4          132   d-1              0.0111             0.00129   OK        =                    474     0.6951
     9          5        3,456   d+1              0.2051             0.02200   OK        =                    694     0.0136
    10          5        1,260   d-1              0.0510             0.00503   OK        =                    783     0.1978
    11          5          312   d-1 d+1          0.0093             0.00086   OK        =                  1,524     0.7626
    12          6        1,068   d+1              0.0243             0.00210   OK        =                  4,793     0.7471
    13          6       21,186   d+1              0.3729             0.03039   OK        =                  7,189     0.0650
    14          6        1,548   d+1              0.0211             0.00162   OK        =                  3,619     0.6058
    15          6          822   d-1 d+1          0.0089             0.00065   OK        =                  3,329     0.7385
    16          7       11,934   d-1              0.1041             0.00723   OK        =                 13,786     0.3976
    17          7          270   d-1 d+1          0.0019             0.00013   OK        =                  5,185     0.9294
    18          7        1,218   d-1              0.0071             0.00045   OK        =                  3,281     0.6603
    19          8        9,972   d+1              0.0482             0.00293   OK        =                  7,263     0.2494
    20          8        1,032   d-1 d+1          0.0042             0.00024   OK        =                 21,921     0.9304
    21          8       66,732   d+1              0.2270             0.01270   OK        =                 32,391     0.1352
    22          9       16,572   d+1              0.0478             0.00257   OK        =                 18,736     0.3936
